Date,Tick,Close,Polarity,News
2017-09-11,UTHR,120.75,-0.999999000001,1
2017-09-12,UTHR,123.38,0.0,0
2017-09-13,UTHR,123.18,0.0,0
2017-09-14,UTHR,121.01,0.0,0
2017-09-15,UTHR,120.79,0.0,0
2017-09-16,UTHR,120.46,0.0,0
2017-09-17,UTHR,120.13,0.0,0
2017-09-18,UTHR,119.8,0.0,0
2017-09-19,UTHR,117.53,0.9999998,1
2017-09-20,UTHR,117.57,0.0,0
2017-09-21,UTHR,115.45,0.999999666667,1
2017-09-22,UTHR,114.6,0.0,0
2017-09-23,UTHR,116.28,0.0,0
2017-09-24,UTHR,117.96,0.0,0
2017-09-25,UTHR,119.64,0.0,0
2017-09-26,UTHR,118.3,0.0,0
2017-09-27,UTHR,119.46,0.0,0
2017-09-28,UTHR,118.76,0.0,0
2017-09-29,UTHR,117.19,0.0,0
2017-09-30,UTHR,92.115,0.0,0
2016-01-04,Q,67.04,0.9999995,1
2016-01-05,Q,67.11,0.0,0
2016-01-06,Q,66.74,0.0,1
2016-01-07,Q,65.18,0.0,0
2016-01-08,Q,65.1,0.0,0
2016-01-09,Q,64.9233333333,0.0,0
2016-01-10,Q,64.7466666667,0.0,0
2016-01-11,Q,64.57,0.0,0
2016-01-12,Q,65.14,0.0,0
2016-01-13,Q,63.76,0.0,0
2016-01-14,Q,63.96,0.0,0
2016-01-15,Q,63.34,0.0,0
2016-01-16,Q,63.345,0.0,0
2016-01-17,Q,63.35,0.0,0
2016-01-18,Q,63.355,0.0,1
2016-01-19,Q,63.36,0.0,0
2016-01-20,Q,63.25,0.0,0
2016-01-21,Q,62.47,0.0,0
2016-01-22,Q,63.61,0.0,0
2016-01-23,Q,63.4066666667,0.0,0
2016-01-24,Q,63.2033333333,0.0,0
2016-01-25,Q,63.0,0.0,0
2016-01-26,Q,63.5,0.0,0
2016-01-27,Q,61.93,0.0,0
2016-01-28,Q,60.43,0.0,0
2016-01-29,Q,60.83,0.0,0
2016-01-30,Q,60.73,0.0,0
2016-01-31,Q,60.63,0.0,0
2016-02-01,Q,60.53,0.0,0
2016-02-02,Q,58.28,0.0,0
2016-02-03,Q,58.55,0.0,0
2016-02-04,Q,59.53,0.0,0
2016-02-05,Q,57.5,0.0,0
2016-02-06,Q,56.97,0.0,0
2016-02-07,Q,56.44,0.0,0
2016-02-08,Q,55.91,0.0,0
2016-02-09,Q,56.7,0.0,0
2016-02-10,Q,58.35,0.0,0
2016-02-11,Q,59.0,0.999999000001,1
2016-02-12,Q,60.43,0.999999000001,1
2016-02-13,Q,60.77,-0.999999000001,1
2016-02-14,Q,61.11,0.0,0
2016-02-15,Q,61.45,0.0,0
2016-02-16,Q,61.79,0.0,0
2016-02-17,Q,63.17,0.0,0
2016-02-18,Q,62.73,0.0,0
2016-02-19,Q,63.43,0.0,0
2016-02-20,Q,63.12,0.0,0
2016-02-21,Q,62.81,0.0,0
2016-02-22,Q,62.5,0.0,0
2016-02-23,Q,61.65,0.0,0
2016-02-24,Q,62.1,0.0,1
2016-02-25,Q,62.86,0.0,0
2016-02-26,Q,63.35,0.0,0
2016-02-27,Q,63.1366666667,0.0,0
2016-02-28,Q,62.9233333333,0.0,0
2016-02-29,Q,62.71,0.0,0
2016-03-01,Q,65.36,0.0,0
2016-03-02,Q,65.44,0.0,0
2016-03-03,Q,64.67,0.0,0
2016-03-04,Q,65.44,0.0,0
2016-03-05,Q,65.4,0.0,0
2016-03-06,Q,65.36,0.0,0
2016-03-07,Q,65.32,0.0,0
2016-03-08,Q,65.65,0.0,0
2016-03-09,Q,65.51,0.0,0
2016-03-10,Q,65.28,0.0,0
2016-03-11,Q,67.4,0.0,0
2016-03-12,Q,67.21,0.0,0
2016-03-13,Q,67.02,0.0,0
2016-03-14,Q,66.83,0.0,0
2016-03-15,Q,65.4,0.0,0
2016-03-16,Q,65.03,0.0,0
2016-03-17,Q,64.65,0.0,0
2016-03-18,Q,64.88,0.0,0
2016-03-19,Q,64.7866666667,0.0,0
2016-03-20,Q,64.6933333333,0.0,0
2016-03-21,Q,64.6,0.0,0
2016-03-22,Q,65.3,0.0,0
2016-03-23,Q,64.54,0.666666555556,1
2016-03-24,Q,64.23,0.0,0
2016-03-25,Q,64.115,0.0,0
2016-03-26,Q,64.0,0.0,0
2016-03-27,Q,63.885,0.0,0
2016-03-28,Q,63.77,0.0,0
2016-03-29,Q,65.07,0.0,1
2016-03-30,Q,64.7,0.0,0
2016-03-31,Q,65.1,0.999999000001,1
2016-04-01,Q,67.52,0.0,0
2016-04-02,Q,67.82,0.0,0
2016-04-03,Q,68.12,0.0,0
2016-04-04,Q,68.42,0.0,0
2016-04-05,Q,67.69,0.0,0
2016-04-06,Q,70.19,0.0,0
2016-04-07,Q,70.16,0.0,0
2016-04-08,Q,70.83,0.0,0
2016-04-09,Q,70.67,0.0,0
2016-04-10,Q,70.51,0.0,0
2016-04-11,Q,70.35,0.0,0
2016-04-12,Q,69.4,0.0,0
2016-04-13,Q,70.0,0.0,0
2016-04-14,Q,69.67,0.0,0
2016-04-15,Q,70.09,0.0,0
2016-04-16,Q,70.0033333333,0.0,0
2016-04-17,Q,69.9166666667,0.0,0
2016-04-18,Q,69.83,0.0,1
2016-04-19,Q,69.74,0.0,0
2016-04-20,Q,69.72,0.0,0
2016-04-21,Q,70.03,0.0,0
2016-04-22,Q,70.04,0.999999000001,1
2016-04-23,Q,70.0266666667,0.0,0
2016-04-24,Q,70.0133333333,0.0,0
2016-04-25,Q,70.0,0.0,0
2016-04-26,Q,70.08,0.0,0
2016-04-27,Q,69.82,0.0,0
2016-04-28,Q,69.98,0.0,0
2016-04-29,Q,69.07,0.0,0
2016-04-30,Q,69.08,0.0,0
2016-05-01,Q,69.09,0.0,0
2016-05-02,Q,69.1,0.0,0
2016-05-03,Q,67.46,3.99999733334,1
2016-05-04,Q,65.03,0.0,0
2016-05-05,Q,64.52,0.0,0
2016-05-06,Q,65.96,0.0,0
2016-05-07,Q,66.3166666667,0.0,0
2016-05-08,Q,66.6733333333,0.0,0
2016-05-09,Q,67.03,0.0,0
2016-05-10,Q,67.65,0.0,0
2016-05-11,Q,65.95,0.0,0
2016-05-12,Q,65.31,0.0,0
2016-05-13,Q,65.74,0.0,0
2016-05-14,Q,65.6866666667,0.0,0
2016-05-15,Q,65.6333333333,0.0,0
2016-05-16,Q,65.58,0.0,0
2016-05-17,Q,65.58,0.0,0
2016-05-18,Q,65.85,0.0,0
2016-05-19,Q,64.92,0.0,0
2016-05-20,Q,66.55,0.0,0
2016-05-21,Q,66.3566666667,0.0,0
2016-05-22,Q,66.1633333333,0.0,0
2016-05-23,Q,65.97,0.0,0
2016-05-24,Q,66.92,0.0,0
2016-05-25,Q,67.06,0.0,0
2016-05-26,Q,66.74,0.333333222222,1
2016-05-27,Q,66.7,0.0,0
2016-05-28,Q,66.9975,0.0,0
2016-05-29,Q,67.295,0.0,0
